Designator,Mid X,Mid Y,Layer,Rotation
C1,132.7000mm,-110.2000mm,Top,270
C2,141.7000mm,-112.4000mm,Top,0
C3,128.5000mm,-123.0000mm,Top,0
D1,140.9000mm,-109.4000mm,Top,180
D2,108.5000mm,-108.5000mm,Top,90
D3,148.5000mm,-108.5000mm,Top,90
D4,148.5000mm,-148.5000mm,Top,270
D5,108.5000mm,-148.5000mm,Top,270
F1,135.9000mm,-109.4000mm,Top,0
J1,128.5000mm,-103.6750mm,Top,180
J2,129.7700mm,-147.8500mm,Top,180
R1,129.7500mm,-111.8000mm,Top,270
R2,126.7500mm,-111.8000mm,Top,270
R3,123.1000mm,-126.0000mm,Top,270
R4,111.9000mm,-107.1000mm,Top,180
R5,145.1000mm,-107.1000mm,Top,0
R6,145.1000mm,-149.9000mm,Top,0
R7,111.9000mm,-149.9000mm,Top,180
U1,128.5000mm,-128.5000mm,Top,0
